video_id,filename,scene,location_type,lighting,resolution,fps,duration_s,valid_events,notes,consent_checked
V01,14741432fd33a5eddbff130427e6f1fd.mp4,safe_distance,parking_road,daylight,960x540,30,11.030,0,用户确认安全距离；无冲突事件基线,
V02,2233eeefc8eca0e81e8a40898c43e9ec.mp4,safe_distance,parking_road,daylight,1280x720,30,6.900,0,用户确认安全距离；无冲突事件基线,
V03,325dcdde4f5ead4880f489109a44425f.mp4,safe_distance,parking_road,daylight,1280x720,30,14.367,0,用户确认安全距离；无冲突事件基线,
V04,38a01edebf1e336e5bf3e81dc88aaff0.mp4,safe_distance,parking_road,daylight,1280x720,30,7.033,0,用户确认安全距离；无冲突事件基线,
V05,5a045ebab32fba3fb1e41b8fd1c540a4.mp4,safe_distance,parking_road,daylight,1280x720,30,8.267,0,用户确认安全距离；无冲突事件基线,
V06,64b7905de41ebc0dbbd3251d563e9d0f.mp4,safe_distance,parking_road,daylight,960x540,30,5.067,0,用户确认安全距离；无冲突事件基线,
V07,6cadf5edaefeec5a42c70ea427bf13f4.mp4,safe_distance,parking_road,daylight,1280x720,30,9.967,0,用户确认安全距离；无冲突事件基线,
V08,7d1eda95749c55dd118accf22dee1e65.mp4,safe_distance,parking_road,daylight,1280x720,30,6.600,0,用户确认安全距离；无冲突事件基线,
V09,ba4d9f70dd3188609245b59bfdb5b151.mp4,safe_distance,parking_road,daylight,1280x720,30,8.235,0,用户确认安全距离；无冲突事件基线,
V10,c106e17d4821ea61a6c570c2fb98555a.mp4,safe_distance,parking_road,daylight,1280x720,30,6.667,0,用户确认安全距离；无冲突事件基线,
V11,d58926f8e1c127edda4648e71d5e6bbd.mp4,safe_distance,parking_road,daylight,1280x720,30,7.600,0,用户确认安全距离；无冲突事件基线,
V12,dc686fd6996ba553e1a6e0fe9250b7f2.mp4,safe_distance,parking_road,daylight,1280x720,30,11.300,0,用户确认安全距离；无冲突事件基线,
V13,e5cf50283ef262fdb1512c09136d49a7.mp4,safe_distance,parking_road,daylight,1280x720,30,4.000,0,用户确认安全距离；无冲突事件基线,
