epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.67469,2.19548,3.30461,1.74529,0.00422,1,0.59052,0.28097,1.39423,3.22307,1.06058,0.000333333,0.000333333,0.000333333
2,9.34704,1.41694,2.20751,1.14751,0.00485,1,0.59137,0.21229,1.78681,3.30046,1.21668,0.000967,0.000967,0.000967
3,13.1918,1.3656,2.59583,1.15878,0.00543,0.88889,0.44389,0.10064,1.65736,3.16244,1.15158,0.00155667,0.00155667,0.00155667
4,16.9371,1.56834,2.91254,1.25657,0.00368,0.88889,0.38782,0.11818,1.80423,3.10079,1.13357,0.001802,0.001802,0.001802
5,20.2032,1.48222,1.93155,1.19451,0.06308,0.55556,0.36697,0.09524,1.92013,3.09512,1.28156,0.001736,0.001736,0.001736
6,23.7718,1.44296,1.48682,1.13697,0.00319,0.88889,0.32949,0.13931,2.06981,3.27848,1.4592,0.00167,0.00167,0.00167
7,27.4077,1.45514,1.49768,1.17417,0.0029,0.77778,0.23099,0.07122,1.65061,3.24424,1.27909,0.001604,0.001604,0.001604
8,31.2233,1.27596,1.40846,1.18974,0.00361,0.88889,0.15776,0.0504,1.51611,3.20105,1.14461,0.001538,0.001538,0.001538
9,34.935,1.15276,1.22917,1.11131,0.00821,0.44444,0.13401,0.01729,1.73566,3.21474,1.36878,0.001472,0.001472,0.001472
10,38.3661,1.08663,1.1304,1.08571,0.00315,0.77778,0.00995,0.00465,1.7603,3.32163,1.31347,0.001406,0.001406,0.001406
11,41.9415,1.07241,1.20114,1.052,0.00285,0.66667,0.00757,0.00327,1.55931,3.40539,1.26522,0.00134,0.00134,0.00134
12,45.6704,1.07048,1.14084,1.03825,0.00316,0.66667,0.00871,0.00326,1.79746,3.50998,1.44386,0.001274,0.001274,0.001274
13,49.1002,0.99724,1.04476,1.02956,0.00331,0.66667,0.01123,0.00425,1.80647,3.5496,1.48576,0.001208,0.001208,0.001208
14,52.5739,0.99812,0.99148,1.09454,0.00339,0.66667,0.025,0.01173,1.85938,3.38365,1.61936,0.001142,0.001142,0.001142
15,56.3926,0.96035,0.95051,1.03197,0.00396,0.66667,0.24319,0.14478,1.66911,3.24328,1.42928,0.001076,0.001076,0.001076
16,60.1409,0.95374,0.96159,0.97259,0.20509,0.11111,0.21424,0.12007,1.94093,3.24336,1.56601,0.00101,0.00101,0.00101
17,63.6804,0.9051,0.86897,0.97387,1,0.22037,0.32074,0.15406,1.82994,3.21822,1.50327,0.000944,0.000944,0.000944
18,66.9789,0.89632,0.87178,0.97909,1,0.23359,0.48555,0.30539,1.48023,2.87622,1.23907,0.000878,0.000878,0.000878
19,70.353,0.90241,0.89787,0.98618,1,0.26897,0.5577,0.33844,1.57125,2.57008,1.42244,0.000812,0.000812,0.000812
20,73.6208,0.83816,0.81695,0.95516,1,0.38591,0.561,0.33894,1.57186,2.62471,1.3353,0.000746,0.000746,0.000746
21,77.1211,0.78056,1.01783,0.96904,1,0.38825,0.561,0.34732,1.56519,2.55826,1.35293,0.00068,0.00068,0.00068
22,80.6021,0.72982,0.93514,0.88768,1,0.30355,0.56064,0.33666,1.51262,2.64922,1.34886,0.000614,0.000614,0.000614
23,84.1423,0.74978,0.94842,0.96329,1,0.38804,0.55966,0.34756,1.52041,2.81818,1.31977,0.000548,0.000548,0.000548
24,87.4991,0.72287,0.9189,0.89529,1,0.39408,0.54106,0.33298,1.5412,2.93914,1.35704,0.000482,0.000482,0.000482
25,91.0111,0.71095,0.93335,0.90133,1,0.35874,0.49109,0.29563,1.51747,2.80085,1.33392,0.000416,0.000416,0.000416
26,94.6672,0.68924,0.89076,0.9042,1,0.3154,0.56337,0.35518,1.40631,2.56794,1.31616,0.00035,0.00035,0.00035
27,98.19,0.66502,0.8422,0.84951,1,0.40126,0.64662,0.38706,1.35075,2.35027,1.35523,0.000284,0.000284,0.000284
28,102.258,0.64766,0.80208,0.86394,1,0.56619,0.80591,0.48758,1.37515,2.18774,1.41489,0.000218,0.000218,0.000218
29,105.991,0.63893,0.80346,0.85907,1,0.60292,0.8899,0.54072,1.35765,2.06845,1.43634,0.000152,0.000152,0.000152
30,109.354,0.65844,0.78606,0.90109,1,0.6229,0.89914,0.53852,1.35974,1.95909,1.42911,8.6e-05,8.6e-05,8.6e-05
