epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.44262,1.88152,3.0951,1.51634,0.00374,1,0.37116,0.15986,1.67148,3.46532,1.02622,0.0005,0.0005,0.0005
2,11.5614,1.53351,1.64135,1.15604,0.00442,0.91304,0.20722,0.11255,1.41038,3.44021,0.98475,0.00112817,0.00112817,0.00112817
3,16.6279,1.58042,1.58787,1.18867,0.0031,0.65217,0.01361,0.00409,1.67479,3.60289,1.11951,0.00171233,0.00171233,0.00171233
4,22.5443,1.33741,1.30807,1.15148,0.0037,0.91304,0.01592,0.00569,1.45505,3.45921,1.06211,0.001802,0.001802,0.001802
5,27.562,1.21203,1.24368,1.10681,0.00324,0.91304,0.01362,0.00445,1.59656,3.5618,1.10987,0.001736,0.001736,0.001736
6,32.3538,1.21301,1.138,1.1267,0.00352,0.95652,0.01604,0.0049,1.61051,3.5461,1.17546,0.00167,0.00167,0.00167
7,37.145,1.09635,1.0537,1.0891,0.00347,0.91304,0.02155,0.00678,1.46432,3.47854,1.09468,0.001604,0.001604,0.001604
8,42.1659,1.0732,0.9756,1.0326,0.00379,0.95652,0.04186,0.02345,1.58315,3.39876,1.16589,0.001538,0.001538,0.001538
9,47.7096,1.09736,0.92321,1.01307,0.85282,0.25298,0.30357,0.18875,1.51619,3.13214,1.14454,0.001472,0.001472,0.001472
10,52.7301,1.04694,0.94616,1.0123,0.0909,0.30435,0.30606,0.15061,1.48738,3.11814,1.1676,0.001406,0.001406,0.001406
11,57.7429,1.00558,0.90478,0.99058,1,0.16281,0.26063,0.12952,1.4707,2.85022,1.30178,0.00134,0.00134,0.00134
12,62.8291,0.99279,0.89372,1.01172,1,0.20555,0.27634,0.15626,1.60236,2.72422,1.3373,0.001274,0.001274,0.001274
13,67.8441,0.91593,0.83396,0.96733,0.8989,0.13043,0.16995,0.11624,1.58998,2.88537,1.21948,0.001208,0.001208,0.001208
14,72.8967,0.87634,0.82415,0.98455,1,0.16908,0.24904,0.17209,1.43532,2.6496,1.14358,0.001142,0.001142,0.001142
15,77.8632,0.93766,0.82483,0.96806,1,0.27004,0.36874,0.24803,1.46895,2.44214,1.11798,0.001076,0.001076,0.001076
16,83.497,0.94165,0.82743,0.9951,1,0.26301,0.53527,0.35989,1.47448,2.33907,1.06934,0.00101,0.00101,0.00101
17,88.7295,0.91023,0.78931,0.97653,1,0.25736,0.48326,0.32178,1.47213,2.24725,1.08043,0.000944,0.000944,0.000944
18,93.427,0.85911,0.74239,0.95558,1,0.25794,0.4664,0.26468,1.55002,2.20057,1.11045,0.000878,0.000878,0.000878
19,98.3147,0.83432,0.76517,0.94758,0.88646,0.34021,0.71055,0.43728,1.38301,2.01806,1.0277,0.000812,0.000812,0.000812
20,103.128,0.81301,0.70865,0.93219,1,0.70779,0.9423,0.57227,1.3641,1.68274,1.02341,0.000746,0.000746,0.000746
21,108.908,0.73311,0.88388,0.90144,0.9383,0.66168,0.90212,0.54267,1.35738,1.83861,0.99948,0.00068,0.00068,0.00068
22,115.939,0.73868,0.76435,0.89361,1,0.37601,0.79031,0.48203,1.31337,2.09444,1.00571,0.000614,0.000614,0.000614
23,119.956,0.69917,0.79572,0.89313,0.78121,0.56522,0.81698,0.53087,1.27208,1.77583,1.01989,0.000548,0.000548,0.000548
24,123.728,0.67775,0.72928,0.87246,0.71428,0.82609,0.8828,0.57638,1.35659,1.36012,1.05427,0.000482,0.000482,0.000482
25,127.529,0.67185,0.67366,0.86748,0.91477,0.93381,0.96715,0.59691,1.40415,1.13048,1.07863,0.000416,0.000416,0.000416
26,131.354,0.65914,0.69246,0.86104,0.9456,0.95652,0.97595,0.61288,1.38612,1.0727,1.07994,0.00035,0.00035,0.00035
27,135.211,0.62733,0.66563,0.85379,0.99789,0.91304,0.97813,0.62266,1.34247,1.06884,1.07798,0.000284,0.000284,0.000284
28,139.085,0.63019,0.69029,0.85505,0.95359,0.95652,0.98468,0.6312,1.3118,1.07939,1.06942,0.000218,0.000218,0.000218
29,142.897,0.65438,0.68134,0.85275,0.95257,0.95652,0.98786,0.64603,1.30592,1.03941,1.09407,0.000152,0.000152,0.000152
30,146.757,0.61989,0.65118,0.84453,0.95146,0.95652,0.99038,0.64793,1.29615,1.00482,1.08592,8.6e-05,8.6e-05,8.6e-05
