epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.1259,2.9546,6.40186,1.2276,0.00058,0.19533,0.01132,0.00409,2.82035,5.45371,1.20753,0.000408497,0.000408497,0.000408497
2,129.355,3.06511,4.48137,1.17927,0.85831,0.01154,0.04744,0.01318,2.79961,4.52421,1.27051,0.000797933,0.000797933,0.000797933
3,200.579,2.91455,3.74303,1.19042,0.05827,0.09391,0.02961,0.00754,2.86013,4.77302,1.30753,0.00115987,0.00115987,0.00115987
4,254.02,2.98899,3.44726,1.21671,0.38215,0.05096,0.03642,0.011,3.00761,3.83782,1.27953,0.00112625,0.00112625,0.00112625
5,316.679,2.98761,3.03551,1.16063,0.75501,0.04246,0.04762,0.01688,2.80487,3.14668,1.23979,0.001085,0.001085,0.001085
6,374.285,2.84529,2.68452,1.12857,0.84464,0.03185,0.04122,0.01234,2.89503,3.09178,1.29041,0.00104375,0.00104375,0.00104375
7,424.207,2.84399,2.48371,1.15208,0.39837,0.02972,0.03385,0.00998,3.01088,2.84579,1.32932,0.0010025,0.0010025,0.0010025
8,474.099,2.87265,2.38193,1.12421,0.45588,0.03457,0.04222,0.01446,3.04462,3.00812,1.23163,0.00096125,0.00096125,0.00096125
9,523.332,2.77995,2.29246,1.11126,0.36547,0.03822,0.02003,0.00607,2.87011,3.04964,1.21834,0.00092,0.00092,0.00092
10,573.404,2.7255,2.11784,1.07107,0.08152,0.06462,0.05645,0.01773,2.47458,2.52273,1.17025,0.00087875,0.00087875,0.00087875
11,622.528,2.70387,2.11883,1.09995,0.04467,0.10403,0.06274,0.0179,2.75084,2.47892,1.27427,0.0008375,0.0008375,0.0008375
12,671.609,2.59794,1.96251,1.08185,0.47904,0.05961,0.04201,0.01497,2.73025,2.61568,1.20437,0.00079625,0.00079625,0.00079625
13,720.652,2.63634,1.99746,1.05497,0.75612,0.04128,0.05461,0.01984,2.65594,2.85027,1.18596,0.000755,0.000755,0.000755
14,769.325,2.60474,1.97254,1.07864,0.77438,0.07219,0.08327,0.02942,2.55453,2.54578,1.15813,0.00071375,0.00071375,0.00071375
15,818.804,2.57974,1.87641,1.07442,0.78913,0.05308,0.07763,0.02714,2.51451,2.35833,1.15022,0.0006725,0.0006725,0.0006725
16,867.626,2.61532,1.88,1.06061,0.79276,0.05732,0.06807,0.02291,2.75377,2.30741,1.23675,0.00063125,0.00063125,0.00063125
17,916.971,2.49921,1.76303,1.0445,0.04749,0.14862,0.08883,0.02809,2.46861,2.15936,1.1322,0.00059,0.00059,0.00059
18,966.942,2.48206,1.79024,0.99991,0.41469,0.07856,0.10132,0.0321,2.69375,2.39872,1.18609,0.00054875,0.00054875,0.00054875
19,1016.92,2.46812,1.63259,1.02068,0.43609,0.12594,0.11385,0.03586,2.44614,2.14185,1.14815,0.0005075,0.0005075,0.0005075
20,1065.71,2.39067,1.65053,1.01238,0.76065,0.06582,0.09206,0.02805,2.54841,2.41773,1.16203,0.00046625,0.00046625,0.00046625
21,1115.71,2.37339,1.66444,1.00638,0.60413,0.09146,0.10504,0.03427,2.65157,2.42735,1.19906,0.000425,0.000425,0.000425
22,1163.97,2.33847,1.55743,0.99837,0.13837,0.17263,0.11857,0.04029,2.46345,2.12317,1.16538,0.00038375,0.00038375,0.00038375
23,1212.7,2.26851,1.47651,0.99823,0.44574,0.07643,0.0959,0.02979,2.53423,2.12397,1.1618,0.0003425,0.0003425,0.0003425
24,1261.31,2.31431,1.451,1.00028,0.53875,0.10632,0.09578,0.02967,2.58045,2.21292,1.14847,0.00030125,0.00030125,0.00030125
25,1309.88,2.29566,1.47449,0.99749,0.57517,0.09352,0.1034,0.03394,2.4292,2.17229,1.14171,0.00026,0.00026,0.00026
26,1358.23,2.26591,1.44196,0.97885,0.70629,0.08297,0.1307,0.04218,2.41924,2.14953,1.15203,0.00021875,0.00021875,0.00021875
27,1406.41,2.2723,1.39652,0.99201,0.62332,0.09783,0.13147,0.04108,2.42704,2.05628,1.16124,0.0001775,0.0001775,0.0001775
28,1454.14,2.17997,1.33925,0.97599,0.537,0.09783,0.12171,0.0406,2.35198,2.04045,1.1555,0.00013625,0.00013625,0.00013625
29,1502.6,2.12282,1.31452,0.97899,0.15927,0.10844,0.12606,0.0421,2.42197,2.21186,1.16449,9.5e-05,9.5e-05,9.5e-05
30,1550.43,2.12939,1.29084,0.96596,0.17268,0.10207,0.13066,0.04607,2.42355,2.2101,1.16509,5.375e-05,5.375e-05,5.375e-05
